lap_number,lap_time_s,speed_avg_kmh,speed_max_kmh,speed_min_kmh,speed_std_kmh,total_dist_m,throttle_mean,pct_full_throttle,pct_braking,pct_coasting,pct_throttle_brake_overlap,max_lat_g,avg_lat_g,max_long_g_accel,max_long_g_brake,tire_temp_avg_c,tire_temp_max_c,tire_temp_delta_c,combined_slip_avg,combined_slip_max,understeer_mean,wheel_lock_pct,fuel_start,fuel_end,rpm_avg,rpm_max,power_kw_avg,fuel_consumed_pct
1,158.15445,138.65553454315526,220.6384416,36.1924704,38.69134844310161,6163.604,0.6688167310342833,48.52987669933607,16.334703340710295,6.2388028243229,2.755822531352092,4.123615392456676,0.6437521206310682,1.0916217125382264,-2.082056472986748,212.24463602592476,222.9814,-0.2068100000000186,0.5096113929680116,2.67742735,0.14483496635000837,4.2733691642955,0.9283638,0.8563328,5529.90018641585,8021.2876,245.1424544854793,7.203099999999996
2,155.69756,140.85861628763516,223.821612,57.797712,38.04894737746198,6163.4090000000015,0.6561780134385411,44.10127395353817,14.816400813617387,7.17803233058559,0.08029118938015202,1.8593944954128439,0.6487071581196002,0.9089546381243628,-1.94073873598369,212.1775425437587,224.71994750000002,0.34904000000000224,0.49427515189696253,2.5848844,0.1541808997407013,4.378546194197623,0.8563328,0.78725475,5499.415737356814,8015.8335,240.53160977897153,6.907805
3,158.82985,138.4737125757582,224.899146,43.382556,38.58966048975938,6163.534,0.7141516402972146,54.213453667751075,15.820128030223529,4.596494910273901,5.210410326372127,3.6963068297655455,0.6339155324894475,1.0116692150866462,-2.199565749235474,216.056653162845,286.717015,0.06802249999998367,0.6310351733370637,6.406797275000001,0.10834571310960264,4.271172211144926,0.78724796,0.71236575,5497.987258269493,8031.248,241.22862845078785,7.488220999999995
4,153.11324,143.2956935988243,219.122748,58.42420920000001,37.81708185566062,6163.448,0.6840507507161367,51.28456346614413,15.893751360766384,7.4243413890703245,0.31025473546701504,2.2458440366972474,0.6549929195403821,0.8245092762487257,-1.929270846075433,212.7225938746462,224.554355,-0.29709999999997194,0.5453229092253145,2.2612475499999998,0.1840912954650388,4.991291095144786,0.71236575,0.6391735,5573.23180413673,8031.1895,262.2608703421943,7.3192250000000065
